"eunews2-v6.frugalusenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"eunews2-v6.usenetnow.net","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"eu.news.astraweb.com","IPv4-only","TLSv1.3","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'eu.news.astraweb.com' doesn't match either of '*.astraweb.com', 'astraweb.com'"
"eu.news.bintube.com","IPv4-only","TLSv1.3","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'eu.news.bintube.com' doesn't match either of 'eu.bintube.com', 'us.bintube.com'"
"eunews.blocknews.net","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"eu.newsdemon.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"eunews.frugalusenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"eu.newsfusion.net","IPv4-only","TLSv1.3","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'eu.newsfusion.net' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"eu.newsleecher.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"eunews.usenetnow.net","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"eunews-v6.blocknews.net","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"eunews-v6.frugalusenet.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"eunews-v6.usenetnow.net","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"eu.ngroups.net","IPv4-only","TLSv1.3","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'eu.ngroups.net' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"euro.fastusenet.org","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"europe.frugalusenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"europe.ixinews.com","IPv4-only","TLSv1.3","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'europe.ixinews.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"europe.maximumusenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"europe.newsdemon.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"europe.newsgroupdirect.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"europessl.altbinaries.com","IPv4-IPv6","TLSv1.3","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'europessl.altbinaries.com' doesn't match either of 'ams2.sslusenet.com', 'de.sslusenet.com', 'eu.newsleecher.com', 'euro.fastusenet.org', 'europessl.usenet-access.com', 'high2.usenext.de', 'iad.sslusenet.com', 'news-de.newsgroup.ninja', 'news-nl.newsgroup.ninja', 'news-us.newsgroup.ninja', 'news.fastusenet.org', 'news.newsgroup.ninja', 'news.newsleecher.com', 'news.premium-news.de', 'news.shemes.com', 'news.snelnl.com', 'news.ssl.nl.prepaid-usenet.de', 'news.ssl.usa.prepaid-usenet.de', 'news.sslusenet.com', 'news2.snelnl.com', 'news3.snelnl.com', 'nl.sslusenet.com', 'power2.usenet.nl', 'reader.snelnl.com', 'secure.fastusenet.org', 'secure.newsgroup-binaries.com', 'ssl-news.snelnl.com', 'ssl-news2.snelnl.com', 'ssl.usenet-access.com', 'us.newsleecher.com', 'us.sslusenet.com'"
"europe-ssl.maximumusenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"europe-ssl.newsdemon.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"europessl.usenet-access.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"europessl.usenetstorm.com","IPv4-IPv6","TLSv1.3","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'europessl.usenetstorm.com' doesn't match either of 'ams2.sslusenet.com', 'de.sslusenet.com', 'eu.newsleecher.com', 'euro.fastusenet.org', 'europessl.usenet-access.com', 'high2.usenext.de', 'iad.sslusenet.com', 'news-de.newsgroup.ninja', 'news-nl.newsgroup.ninja', 'news-us.newsgroup.ninja', 'news.fastusenet.org', 'news.newsgroup.ninja', 'news.newsleecher.com', 'news.premium-news.de', 'news.shemes.com', 'news.snelnl.com', 'news.ssl.nl.prepaid-usenet.de', 'news.ssl.usa.prepaid-usenet.de', 'news.sslusenet.com', 'news2.snelnl.com', 'news3.snelnl.com', 'nl.sslusenet.com', 'power2.usenet.nl', 'reader.snelnl.com', 'secure.fastusenet.org', 'secure.newsgroup-binaries.com', 'ssl-news.snelnl.com', 'ssl-news2.snelnl.com', 'ssl.usenet-access.com', 'us.newsleecher.com', 'us.sslusenet.com'"
"europe.thecubenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
