"news3.snelnl.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news4.dwld.link","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news4.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news4.pfcorner.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news4.usenet4u.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news4.usenet.farm","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news6.ams.newshosting.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.ams.usenetserver.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.astraweb.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.dwld.link","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.easynews.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.eu.easynews.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.eu.usenetserver.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.eweka.nl","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.fr7.newshosting.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.fr7.usenetserver.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.iad.newshosting.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.iad.usenetserver.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.newshosting.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.pureusenet.nl","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.sunnyusenet.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.tweaknews.eu","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.tweaknews.nl","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.us.easynews.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.usenet.farm","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.usenetserver.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news6.xlned.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news.aeton.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.ams.newshosting.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.ams.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.appelboor.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.astraweb.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.bulknews.eu","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.cheapnews.eu","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news-de6.newshosting.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news-de.newsgroup.ninja","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news-de.newshosting.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.dwld.link","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.easyusenet.nl","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
